"Relationship","Gender","Count"
"father","male","722"
"spouse","male","527"
"child","male","519"
"sibling","male","430"
"spouse","female","357"
"father","female","238"
"mother","male","212"
"relative","male","104"
"child","female","104"
"mother","female","102"
"sibling","female","100"
"number of children","male","30"
"relative","female","28"
"unmarried partner","male","22"
"number of children","female","16"
"unmarried partner","female","4"
"stepparent","male","2"
"godparent","male","1"
"godparent","female","1"
"number of children","non-binary","1"
